feature,importance
completed_parcels_rate,0.06614148616790771
possession_pending_rate,0.0648331344127655
sla_breach_rate,0.0637422427535057
pending_stage_1_survey_mapping_rate,0.06272076815366745
pending_parcels_rate,0.05148438736796379
pending_parcels_change_1step_rate,0.046538833528757095
rr_completed_pct,0.043425507843494415
compensation_pending_rate,0.04322775825858116
processing_rate,0.040026672184467316
pending_stage_8_possession_rate,0.036483827978372574
pending_stage_6_compensation_disbursement_rate,0.03486065939068794
compensation_pending_partial_rate,0.03382908180356026
sla_breaches_change_1step_rate,0.0324968658387661
pending_stage_2_ownership_verification_rate,0.030913451686501503
processing_rate_change_1step,0.030177179723978043
pending_stage_7_rr_rate,0.029635578393936157
compensation_pct_paid,0.029471170157194138
sla_breaches_trend_3step_rate,0.027253245934844017
pending_stage_5_compensation_assessment_rate,0.02647685818374157
pending_parcels_trend_3step_rate,0.025798583403229713
land_required_ha,0.02579345367848873
pending_stage_0_land_identification_rate,0.025134673342108727
rr_pending_rate,0.025065388530492783
pending_stage_9_closure_handover_rate,0.022563379257917404
dispute_rate_change_1step,0.021410968154668808
pending_stage_3_notification_rate,0.021231675520539284
pending_stage_4_objections_hearings_rate,0.017458327114582062
dispute_rate,0.013970955274999142
target_days,0.007833944633603096
district_workload_ratio,0.0
has_officer_data,0.0
rr_pending_in_progress_pct,0.0
